Jahr,Baumart,Waldeigentum,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,,,,,,,,
,,,Wind/Sturm,Schnee/Duft,Insekten,Trockenheit,Sonstiges,Insgesamt,,,,,,,,
2013,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),20,9,1,8,11,8,-,34,6,69,1,,,
2013,Eiche und Roteiche,K�rperschaftswald,14,8,0,8,6,9,-,19,0,41,5,,,
2013,Eiche und Roteiche,Privatwald,27,6,1,8,18,6,-,44,9,92,9,,,
2013,Eiche und Roteiche,Insgesamt,63,4,4,4,37,3,-,98,5,203,5,,,
2013,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),106,6,22,0,6,6,-,85,7,221,0,,,
2013,Buche und sonstiges Laubholz,K�rperschaftswald,94,3,4,8,3,2,-,99,7,202,0,,,
2013,Buche und sonstiges Laubholz,Privatwald,140,5,26,8,14,6,-,159,6,341,4,,,
2013,Buche und sonstiges Laubholz,Insgesamt,341,4,53,6,24,4,-,345,1,764,4,,,
2013,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),335,0,216,1,11,4,-,86,4,648,9,,,
2013,Kiefer und L�rche,K�rperschaftswald,41,3,22,8,6,1,-,21,2,91,4,,,
2013,Kiefer und L�rche,Privatwald,247,1,251,9,26,0,-,31,3,556,3,,,
2013,Kiefer und L�rche,Insgesamt,623,4,490,8,43,4,-,139,0,1296,6,,,
2013,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),515,6,313,2,570,3,-,86,7,1485,9,
2013,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,229,8,74,9,271,3,-,63,6,639,6,
2013,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,510,5,227,3,757,4,-,137,3,1632,4,
2013,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,1255,9,615,4,1599,0,-,287,6,3757,9,
2013,Insgesamt,Staatswald (Bundes- und Landeswald),978,2,553,1,600,1,-,293,5,2424,9,,,
2013,Insgesamt,K�rperschaftswald,380,2,103,3,287,4,-,203,6,974,6,,,
2013,Insgesamt,Privatwald,925,6,507,7,816,6,-,373,0,2623,0,,,
